Date,Correr,Bici,Natación,,,,,,Year Totals
1-Jan-21,6.85,0,0,,,,,Correr,896.15
2-Jan-21,0,40.21,0,,,Totals,,Bici,3897.18
3-Jan-21,0,0,0,,Correr ,95.32,,Natación,126.7517
4-Jan-21,4.46,0,0,,Bici,224.3,,,
5-Jan-21,4.11,18,0,,Natación,1.1932,,,
6-Jan-21,0,19.58,0,,,,,,
7-Jan-21,3.35,0,0,,,,,,
8-Jan-21,0,9.14,0,,,,,,
9-Jan-21,9.14,0,0,,,,,,
10-Jan-21,0,33.02,0,,,,,,
11-Jan-21,6,0,0,,,,,,
12-Jan-21,1,16.74,0,,,,,,
13-Jan-21,0,0,2100,,,,,,
14-Jan-21,5.2,0,0,,,,,,
15-Jan-21,0,34.54,0,,,,,,
16-Jan-21,7.44,0,0,,,,,,
17-Jan-21,0,0,0,,,,,,
18-Jan-21,5.26,0,0,,,,,,
19-Jan-21,0,0,0,,,,,,
20-Jan-21,0,17,0,,,,,,
21-Jan-21,5.5,0,0,,,,,,
22-Jan-21,2.11,36.07,0,,,,,,
23-Jan-21,10.01,0,0,,,,,,
24-Jan-21,0,0,0,,,,,,
25-Jan-21,0,0,0,,,,,,
26-Jan-21,3.8,0,0,,,,,,
27-Jan-21,0,0,0,,,,,,
28-Jan-21,4.26,0,0,,,,,,
29-Jan-21,11.53,0,0,,,,,,
30-Jan-21,5.3,0,0,,,,,,
31-Jan-21,0,0,0,,,,,,
1-Feb-21,9.03,0,1850,,,,,,
2-Feb-21,0,23,0,,,Totals,,,
3-Feb-21,3.65,0,2400,,Correr ,59.74,,,
4-Feb-21,0,19.69,0,,Bici,200.81,,,
5-Feb-21,6.78,0,0,,Natación,9.0625,,,
6-Feb-21,0,53.26,0,,,,,,
7-Feb-21,0,0,0,,,,,,
8-Feb-21,6.79,0,0,,,,,,
9-Feb-21,0,20.79,0,,,,,,
10-Feb-21,0,11.62,2150,,,,,,
11-Feb-21,5.26,0,0,,,,,,
12-Feb-21,8.01,0,2400,,,,,,
13-Feb-21,2,0,0,,,,,,
14-Feb-21,0,0,0,,,,,,
15-Feb-21,0,12.33,0,,,,,,
16-Feb-21,4.3,0,0,,,,,,
17-Feb-21,0,0,2350,,,,,,
18-Feb-21,0,0,0,,,,,,
19-Feb-21,0,0,0,,,,,,
20-Feb-21,0,0,0,,,,,,
21-Feb-21,0,0,0,,,,,,
22-Feb-21,0,0,0,,,,,,
23-Feb-21,10.47,0,2400,,,,,,
24-Feb-21,0,37.24,2400,,,,,,
25-Feb-21,3.45,0,0,,,,,,
26-Feb-21,0,0,0,,,,,,
27-Feb-21,0,22.88,0,,,,,,
28-Feb-21,0,0,0,,,,,,
1-Mar-21,0,3,2600,,,,,,
2-Mar-21,0,18.04,0,,,Totals,,,
3-Mar-21,0,18.09,0,,Correr ,22.17,,,
4-Mar-21,0,13.24,0,,Bici,399.54,,,
5-Mar-21,0,0,2600,,Natación,10.1136,,,
6-Mar-21,0,23.66,0,,,,,,
7-Mar-21,0,0,0,,,,,,
8-Mar-21,0,13.77,0,,,,,,
9-Mar-21,0,24.01,0,,,,,,
10-Mar-21,0,13.36,0,,,,,,
11-Mar-21,0,16.85,0,,,,,,
12-Mar-21,0,0,0,,,,,,
13-Mar-21,0,47.71,0,,,,,,
14-Mar-21,0,0,0,,,,,,
15-Mar-21,0,5,2600,,,,,,
16-Mar-21,0,15.23,0,,,,,,
17-Mar-21,0,3.41,0,,,,,,
18-Mar-21,0,0,2200,,,,,,
19-Mar-21,2.01,13.35,0,,,,,,
20-Mar-21,0,43.37,0,,,,,,
21-Mar-21,2.31,0,0,,,,,,
22-Mar-21,0,5.12,2000,,,,,,
23-Mar-21,2.89,16.21,0,,,,,,
24-Mar-21,0,13.59,0,,,,,,
